================================================================================
統合Actor学習の実行サマリー（初期配置を半径で制御）
================================================================================
実行日時: 20260115_234109
総実行時間: 17:18:51

事前学習済みCritic: output/logs/unified_critic_training/run_20260115_094311/V_integrated_total70000ep.pkl
出口位置: (0, 6)

学習結果:
  V状態数: 初期996 + 新規996 = 現在1992
  H状態数: 996

設定:
  半径パターン: [3, 5, 7, 9, 11, 13, 15]
  人数パターン: [1, 10, 20, 30, 40, 50, 60, 70, 80, 90]
  総エピソード数: 70000
  エピソード数/設定: 1000
  最大ステップ数: 300
  ε探索率: 0.2 → 0.01

モデルパラメータ:
  [FFMパラメータ]
    k_S: 10
    k_D: 1
    k_A: 10
    neighborhood: neumann
  [学習パラメータ]
    alpha_v (Critic学習率): 0.01
    alpha_h (Actor学習率): 0.1
    gamma (割引率): 0.99
    block_size (状態ブロック): 5
  [報酬設定]
    exit_reward: 100.0
    step_penalty: -1.0
    collision_penalty: -1.0

設定別の結果:
--------------------------------------------------------------------------------
radius= 3, N=  1: 平均ステップ= 32.51, H状態数    10→   22 (+  12)
radius= 5, N=  1: 平均ステップ= 37.17, H状態数    22→   22 (+   0)
radius= 5, N= 10: 平均ステップ=151.00, H状態数   156→  624 (+ 468)
radius= 5, N= 20: 平均ステップ=179.22, H状態数   625→  769 (+ 144)
radius= 7, N=  1: 平均ステップ= 45.86, H状態数   769→  769 (+   0)
radius= 7, N= 10: 平均ステップ=133.54, H状態数   769→  775 (+   6)
radius= 7, N= 20: 平均ステップ=188.09, H状態数   775→  827 (+  52)
radius= 7, N= 30: 平均ステップ=216.43, H状態数   831→  900 (+  69)
radius= 7, N= 40: 平均ステップ=216.33, H状態数   900→  933 (+  33)
radius= 9, N=  1: 平均ステップ= 55.80, H状態数   933→  933 (+   0)
radius= 9, N= 10: 平均ステップ=141.99, H状態数   933→  933 (+   0)
radius= 9, N= 20: 平均ステップ=175.22, H状態数   933→  939 (+   6)
radius= 9, N= 30: 平均ステップ=200.45, H状態数   939→  952 (+  13)
radius= 9, N= 40: 平均ステップ=213.86, H状態数   952→  969 (+  17)
radius= 9, N= 50: 平均ステップ=230.87, H状態数   969→  992 (+  23)
radius= 9, N= 60: 平均ステップ=246.49, H状態数   992→  996 (+   4)
radius=11, N=  1: 平均ステップ= 61.10, H状態数   996→  996 (+   0)
radius=11, N= 10: 平均ステップ=135.19, H状態数   996→  996 (+   0)
radius=11, N= 20: 平均ステップ=181.87, H状態数   996→  996 (+   0)
radius=11, N= 30: 平均ステップ=200.38, H状態数   996→  996 (+   0)
radius=11, N= 40: 平均ステップ=220.77, H状態数   996→  996 (+   0)
radius=11, N= 50: 平均ステップ=237.32, H状態数   996→  996 (+   0)
radius=11, N= 60: 平均ステップ=245.11, H状態数   996→  996 (+   0)
radius=11, N= 70: 平均ステップ=259.17, H状態数   996→  996 (+   0)
radius=11, N= 80: 平均ステップ=272.77, H状態数   996→  996 (+   0)
radius=13, N=  1: 平均ステップ= 70.27, H状態数   996→  996 (+   0)
radius=13, N= 10: 平均ステップ=168.17, H状態数   996→  996 (+   0)
radius=13, N= 20: 平均ステップ=205.82, H状態数   996→  996 (+   0)
radius=13, N= 30: 平均ステップ=229.18, H状態数   996→  996 (+   0)
radius=13, N= 40: 平均ステップ=242.71, H状態数   996→  996 (+   0)
radius=13, N= 50: 平均ステップ=255.81, H状態数   996→  996 (+   0)
radius=13, N= 60: 平均ステップ=266.05, H状態数   996→  996 (+   0)
radius=13, N= 70: 平均ステップ=269.51, H状態数   996→  996 (+   0)
radius=13, N= 80: 平均ステップ=275.25, H状態数   996→  996 (+   0)
radius=13, N= 90: 平均ステップ=284.20, H状態数   996→  996 (+   0)
radius=15, N=  1: 平均ステップ= 84.70, H状態数   996→  996 (+   0)
radius=15, N= 10: 平均ステップ=183.37, H状態数   996→  996 (+   0)
radius=15, N= 20: 平均ステップ=223.44, H状態数   996→  996 (+   0)
radius=15, N= 30: 平均ステップ=248.39, H状態数   996→  996 (+   0)
radius=15, N= 40: 平均ステップ=259.16, H状態数   996→  996 (+   0)
radius=15, N= 50: 平均ステップ=264.53, H状態数   996→  996 (+   0)
radius=15, N= 60: 平均ステップ=274.36, H状態数   996→  996 (+   0)
radius=15, N= 70: 平均ステップ=275.69, H状態数   996→  996 (+   0)
radius=15, N= 80: 平均ステップ=280.15, H状態数   996→  996 (+   0)
radius=15, N= 90: 平均ステップ=286.70, H状態数   996→  996 (+   0)
